label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
1,448060667246815.7,3156765050642.2734,1021739908324.0684,365578490976.5973,210711779081.20493,138576276551.7899,91988351560.71793,76946592869.02074,57888226027.41869,49003401145.88802,37874473671.33858,23478161504.166958,20854805186.796623,19124353315.773033,20468754710.357536,15072732079.577444,14459530141.7889,11781770007.71905,13534369690.859142,31268837842.391304,10736882562.050024,10593970070.135124,9805658530.166195,10767598029.236723,9417765837.246086,9961424238.602005,11311091274.708202,12227819711.65628,17633942540.893013,422812361.0650324
1,417748555487233.8,3055915670815.7847,1022887007877.1423,365920495286.6754,219385893716.24066,152835855944.15137,104106388016.46622,88032270570.41962,69904139699.30948,60251355310.87531,42480547357.07865,19855861998.011875,17513044195.46662,15994233457.406189,17688290791.834484,12937847081.750305,12131026914.003838,9706397300.399637,11763396778.886118,28975699826.92236,9011985287.282396,9107800780.818932,8434605409.973145,9449460352.870522,7859714778.885738,8485898653.190046,9983613440.2207,11029280937.008373,17602176702.392624,389294834.08139205
1,605883790843967.2,4711996729445.55,1786762657512.8398,599018437471.8702,353310476565.39044,252613279044.63132,151564309180.29172,129361486585.56558,103419135269.67015,82632940827.44191,58587856176.65163,28560563194.991264,22776247691.389668,21085197121.120796,22352488158.8141,16132697762.129395,16123559426.264671,12511347048.52005,14630926115.82669,31999344719.5939,11360674417.126774,11285791733.039455,10271716929.815483,11770535182.844254,10146393777.377525,10569340159.17233,12304728225.573086,15336151738.279425,17524382720.896362,508088696.16051924
1,484069701615372.44,4279623514013.802,1534256302869.6956,505338979105.068,250126115460.59244,186563161147.14774,106343821383.77591,86634702122.39,72596767612.49153,52871827526.253006,43410260702.19835,30619838034.784786,24815957112.194305,22662186377.575733,24726630542.645576,18719170580.7285,17839162530.013584,14254118178.166292,16410179830.263592,33354836657.37201,13101239432.571568,13075703683.525457,11948533994.805729,13071918830.885258,11568975627.116669,12508813727.972225,13726954353.857841,15840727332.391655,20932344411.822926,440160430.72909105
1,606991098443837.8,3045192734745.701,1210854035100.86,467225444780.3519,273173216654.45035,203903464974.26642,141578663477.2143,118780102029.66595,98641526055.85727,83832023462.97014,56263480936.11037,26643257472.176857,22906102479.6539,20743032046.206406,22030077822.80906,16818843293.353752,15913595342.121857,12958834587.801765,14682414836.421854,31843960408.250957,11671762795.451664,11561353262.599228,10599468896.928724,11904824743.833988,10235260564.876595,10919306759.643583,12398160357.080395,14013865120.864347,25919982676.813374,416693636.03659153
1,227231843766969.0,2423162276661.2466,751805065876.2307,287427472891.28687,160460217861.35608,105409421385.99309,70009568500.05193,54649364479.05076,43673873122.82285,36545147687.2672,26801476327.162018,15771281050.83179,14005477435.65823,12708517333.450216,14493767756.941437,10555642443.104744,9553366182.068075,7815263663.743162,10166859441.621765,26087295389.32612,7139304196.247105,7088946886.078939,6773511231.238823,7442452238.172503,6380068955.9845705,6774042672.206414,7845573436.768444,7442582540.042432,9512568342.187788,329638333.43938637
1,500225165430005.0,3227546986721.0596,1209480635410.9229,426191257524.19257,239023238811.48755,168114583559.39435,106770098433.63004,85083984970.04565,66198669148.0726,51323299877.43733,40827055901.075035,27131031870.42299,22365857900.918034,20357140335.2897,22237381319.29232,16408903202.872925,15679526007.122063,12565142909.962982,14541492111.336292,31997425349.88602,11489134866.142027,11491556613.066286,10547753048.69703,11665886626.31324,10296930907.718796,10980072985.821863,12338755106.29432,14428344089.776413,25605318316.69487,438385260.88540816
1,156176873591713.5,2158722939770.748,733709879209.428,288271456533.1961,151656034800.3687,97218142662.32593,66058895556.327,48502021892.99342,39067404858.248886,31654125290.05562,25384170743.512867,19039010342.589607,17219248309.071335,15056236664.07955,17480817766.959946,12970700302.84191,12068932926.068996,9568635723.100075,12082879458.290562,28750144999.135418,8748784595.981537,8773951232.263742,8221651291.996136,8972754762.609776,7772040945.193189,8352029165.240585,9280130026.455978,8553526846.398212,6838054549.440758,278297933.90105313
1,856748283966740.4,4301346862030.6196,1624077816508.8906,576209424549.0227,336251319382.885,236550505362.0871,145046644067.85278,120073188652.449,89586861386.47,70645072686.50085,55221720225.63171,34329163991.629303,30885096059.28878,25696720381.057568,27286536227.47206,21753965796.269146,19737496201.1597,16405800348.298471,18299816905.00032,34323095815.999447,14662052576.703215,14594579134.712448,13391937257.661226,14562047378.220987,13630466817.017813,13879845249.444332,14966949095.445965,16403404190.45847,18990223669.077015,586914395.127938
1,399981141811393.0,3479044519780.952,1001713375116.1509,440065467203.10315,244638018341.9439,149914080411.43396,109667952905.68924,81315694667.206,63531715098.5374,50593599719.15241,38052493417.0169,25916945942.68183,21171074896.885582,18174960424.77345,19736498858.155643,14997131401.307613,13882874669.823914,11407973993.142756,14036711793.75441,29301348358.114647,10212286765.295086,10126602709.597992,9366260770.586563,10277203745.125664,9289168896.475285,9595168058.219585,10400525825.45478,11064342578.766266,17381747465.7918,404053278.0077219
1,654551485134351.0,5266855648606.394,1825416719420.7021,719574212719.7262,375287212360.2938,273511575706.07562,185634653001.50705,142873854603.60345,116896471161.80165,91315714668.6289,67114482624.92507,39881024391.87891,35917353973.71243,30602055293.287796,30669974520.369114,25275550485.894188,22843475699.09922,18516500676.696507,20988651669.53687,37103692431.127464,16759254552.302757,16290130492.091747,15176300123.665897,16279681585.28862,14816029268.930752,15854587968.80426,16191008298.351185,14913071645.363054,16501932382.94773,496640315.1337902
1,460171522303767.75,4035270150359.6284,1334894948915.8718,545137147697.35205,303546065778.9409,194164609772.21698,133531377627.89401,100263430401.11584,77395347136.52666,62051653293.44226,44883784523.775314,25856791235.774834,21903092783.74265,20384644028.762074,21521901390.411705,15887261421.140007,14785068493.930529,11911289452.55817,14571171703.914661,29854700566.507233,10845045806.77552,10512464729.03417,9929156539.679207,10936986975.973322,9487568391.33117,10015036603.953812,11045707087.620749,11902989696.645966,12833090135.596445,426890997.8818822
1,574775407260268.6,5008438616384.967,1340398093863.4111,520069693268.09155,268629854688.333,156178155772.7879,97635202601.06998,73550077591.74638,55946564912.243385,45102784741.81687,31992485827.315365,14849200615.338806,12582189581.33994,11394963791.310396,13225726667.138687,9136908697.82405,8603494426.264175,7158977792.323463,10477542558.53484,24366503740.14749,6592499861.165653,6423131661.979187,6156843662.961246,6698650377.577952,5859363306.224368,6290354380.400242,7755941622.073881,8270386931.5705185,19286684901.6264,472697005.5813736
